"Story","Title","Result","Date","Stability","Duration (s)"
"Buy a product","do buy product","SUCCESS","2019-08-22T14:26:43.949-05:00[America/Bogota]","0.0","47.64"
"Buy a product","asks for a receipt","SUCCESS","2019-08-22T14:27:31.596-05:00[America/Bogota]","0.0","42.92"
